step,split,CE_to_pseudo_label,expected_GC,bounded_GC_penalty,expected_log_CAI,total_loss,synonym_mask_coverage
500,eval,3.23249865,0.42634252,0.00000000,-0.23911193,3.24445415,1.00000000
500,eval,3.22030973,0.42720664,0.00000000,-0.22709331,3.23166442,1.00000000
500,eval,3.22956586,0.42754841,0.00000000,-0.23527846,3.24132967,1.00000000
500,eval,3.21814585,0.42668054,0.00000000,-0.22550888,3.22942138,1.00000000
500,eval,3.21963930,0.42722473,0.00000000,-0.23806949,3.23154283,1.00000000
500,eval,3.22536564,0.42728171,0.00000000,-0.22806624,3.23676896,1.00000000
500,eval,3.24683714,0.42771226,0.00000000,-0.22401103,3.25803781,1.00000000
500,eval,3.23187160,0.42677489,0.00000000,-0.22657904,3.24320054,1.00000000
500,eval,3.22443485,0.42677286,0.00000000,-0.23742278,3.23630595,1.00000000
500,eval,3.22885895,0.42531496,0.00000000,-0.22737159,3.24022746,1.00000000
500,eval,3.22948813,0.42746854,0.00000000,-0.22337908,3.24065709,1.00000000
500,eval,3.24045253,0.42644584,0.00000000,-0.22879751,3.25189233,1.00000000
500,eval,3.24666190,0.42499745,0.00000000,-0.22330292,3.25782704,1.00000000
500,eval,3.22879243,0.42407790,0.00000000,-0.22800042,3.24019241,1.00000000
500,eval,3.22487164,0.42722490,0.00000000,-0.23525353,3.23663425,1.00000000
500,eval,3.23286414,0.42528462,0.00000000,-0.22655679,3.24419188,1.00000000
500,eval,3.23733974,0.42552876,0.00000000,-0.22713183,3.24869633,1.00000000
500,eval,3.22951221,0.42390001,0.00000000,-0.23251012,3.24113774,1.00000000
500,eval,3.23651552,0.42556477,0.00000000,-0.23530608,3.24828076,1.00000000
500,eval,3.23361564,0.42662784,0.00000000,-0.22419512,3.24482536,1.00000000
500,eval,3.23006105,0.42478475,0.00000000,-0.23091777,3.24160695,1.00000000
500,eval,3.23109293,0.42554069,0.00000000,-0.23220243,3.24270296,1.00000000
500,eval,3.23978400,0.42681932,0.00000000,-0.22785634,3.25117683,1.00000000
500,eval,3.22249699,0.42592850,0.00000000,-0.22892055,3.23394299,1.00000000
500,eval,3.21813703,0.42635611,0.00000000,-0.23777629,3.23002577,1.00000000
500,eval,3.23249626,0.42648172,0.00000000,-0.22420822,3.24370670,1.00000000
500,eval,3.24479413,0.42633730,0.00000000,-0.23496753,3.25654244,1.00000000
500,eval,3.21764612,0.42680416,0.00000000,-0.22642264,3.22896719,1.00000000
500,eval,3.24071193,0.42645228,0.00000000,-0.22610664,3.25201726,1.00000000
500,eval,3.23361731,0.42637834,0.00000000,-0.22853263,3.24504399,1.00000000
500,eval,3.21358347,0.42515635,0.00000000,-0.23001209,3.22508407,1.00000000
500,eval,3.21102786,0.42711991,0.00000000,-0.22372103,3.22221398,1.00000000
500,eval,3.21962857,0.42655668,0.00000000,-0.22801936,3.23102951,1.00000000
500,eval,3.22829056,0.42663234,0.00000000,-0.22948809,3.23976493,1.00000000
500,eval,3.22958279,0.42658165,0.00000000,-0.22708173,3.24093676,1.00000000
