protein_id,v2_cai,v3_cai,v3_cai_delta_pct,v2_gc_global,v3_gc_global,v2_local_gc_min,v2_local_gc_max,v3_local_gc_min,v3_local_gc_max,v3_amino_acid_identity,v3_validator_pass,v3_internal_stop_count,v3_invalid_codon_count,v3_forbidden_motif_count,v3_homopolymer_count,v3_repeat_count
NbL04g19790.1,0.80009916,0.80009916,0.0000,42.40102171,42.40102171,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,1,2
NbL01g19020.1,0.79170257,0.79170257,0.0000,42.44791667,42.44791667,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,9
NbL12g19450.1,0.78604926,0.78584428,-0.0261,42.51302083,42.44791667,40.00000000,48.33333333,40.00000000,48.33333333,1.00000000,True,0,0,0,1,6
NbL13g12940.1,0.78172452,0.78172452,0.0000,42.51302083,42.51302083,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,1,6
NbL06g16690.1,0.79941298,0.79941298,0.0000,42.49363868,42.49363868,40.00000000,43.33333333,40.00000000,43.33333333,1.00000000,True,0,0,0,0,0
NbL18g13520.1,0.79052644,0.79077405,0.0313,42.51302083,42.57812500,36.66666667,48.33333333,36.66666667,48.33333333,1.00000000,True,0,0,0,0,3
NbL16g17570.1,0.78483825,0.78483825,0.0000,42.50269687,42.50269687,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,0,3
NbL14g12980.1,0.78934838,0.78934838,0.0000,42.51302083,42.51302083,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,1,9
NbL03g24230.1,0.80910834,0.80910834,0.0000,42.50764526,42.50764526,40.00000000,46.66666667,40.00000000,46.66666667,1.00000000,True,0,0,0,0,1
NbL05g22170.1,0.78085721,0.78085721,0.0000,42.57575758,42.57575758,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,1,4
NbL02g16680.1,0.81029445,0.81029445,0.0000,42.51302083,42.51302083,40.00000000,46.66666667,40.00000000,46.66666667,1.00000000,True,0,0,0,1,5
NbL05g01090.1,0.78390393,0.78390393,0.0000,42.48826291,42.48826291,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,1,5
NbL04g06350.1,0.79035948,0.79035948,0.0000,42.60563380,42.60563380,38.33333333,48.33333333,38.33333333,48.33333333,1.00000000,True,0,0,0,1,4
NbL06g05440.1,0.80381295,0.80381295,0.0000,42.69972452,42.69972452,40.00000000,46.66666667,40.00000000,46.66666667,1.00000000,True,0,0,0,0,2
NbL14g17400.1,0.77082076,0.77082076,0.0000,42.51302083,42.51302083,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,0,5
NbL16g14100.1,0.80896877,0.80896877,0.0000,42.51302083,42.51302083,40.00000000,46.66666667,40.00000000,46.66666667,1.00000000,True,0,0,0,1,6
NbL13g17530.1,0.81238389,0.81238389,0.0000,42.51302083,42.51302083,38.33333333,45.00000000,38.33333333,45.00000000,1.00000000,True,0,0,0,2,5
NbL10g01790.1,0.82727041,0.82727041,0.0000,42.58289703,42.58289703,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,0
NbL15g22530.1,0.79174753,0.79174753,0.0000,42.51302083,42.51302083,36.66666667,48.33333333,36.66666667,48.33333333,1.00000000,True,0,0,0,0,5
NbL14g00650.1,0.82593179,0.82593179,0.0000,42.42424242,42.42424242,38.33333333,45.00000000,38.33333333,45.00000000,1.00000000,True,0,0,0,0,3
NbL19g08970.1,0.85377633,0.85377633,0.0000,42.42424242,42.42424242,41.66666667,43.33333333,41.66666667,43.33333333,1.00000000,True,0,0,0,0,2
NbL04g06940.1,0.79649020,0.79649020,0.0000,42.55952381,42.55952381,38.33333333,45.00000000,38.33333333,45.00000000,1.00000000,True,0,0,0,3,9
NbL06g17910.1,0.78106860,0.78106860,0.0000,42.92565947,42.92565947,38.33333333,48.33333333,38.33333333,48.33333333,1.00000000,True,0,0,0,1,7
NbL12g07280.1,0.81381970,0.81381970,0.0000,42.51302083,42.51302083,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,1,5
NbL13g07490.1,0.79450845,0.79450845,0.0000,42.51207729,42.51207729,36.66666667,48.33333333,36.66666667,48.33333333,1.00000000,True,0,0,0,0,3
NbL03g16170.1,0.79411924,0.79411924,0.0000,42.48826291,42.48826291,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,0,5
NbL09g22750.1,0.79035490,0.79035490,0.0000,42.51302083,42.51302083,33.33333333,50.00000000,33.33333333,50.00000000,1.00000000,True,0,0,0,0,5
NbL15g07980.1,0.84897019,0.84897019,0.0000,42.33333333,42.33333333,41.66666667,43.33333333,41.66666667,43.33333333,1.00000000,True,0,0,0,0,1
NbL12g18610.1,0.75124035,0.75124035,0.0000,42.49158249,42.49158249,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,1,4
NbL11g20730.1,0.77584014,0.77584014,0.0000,42.59259259,42.59259259,38.33333333,48.33333333,38.33333333,48.33333333,1.00000000,True,0,0,0,0,12
NbL19g00820.1,0.80190147,0.80190147,0.0000,42.51302083,42.51302083,40.00000000,46.66666667,40.00000000,46.66666667,1.00000000,True,0,0,0,1,4
NbL05g05610.1,0.79481497,0.79481497,0.0000,42.50000000,42.50000000,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,0,3
NbL19g20210.1,0.79879785,0.79879785,0.0000,42.58109041,42.58109041,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,5
NbL02g06990.1,0.79239289,0.79239289,0.0000,42.64150943,42.64150943,41.66666667,43.33333333,41.66666667,43.33333333,1.00000000,True,0,0,0,0,2
NbL03g17710.1,0.81011482,0.81011482,0.0000,42.51302083,42.51302083,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,1,2
NbL04g08510.1,0.83934254,0.83934254,0.0000,42.60485651,42.60485651,41.66666667,43.33333333,41.66666667,43.33333333,1.00000000,True,0,0,0,0,0
NbL14g20930.1,0.82942043,0.82942043,0.0000,42.56756757,42.56756757,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,2
NbL11g08560.1,0.79866818,0.79866818,0.0000,42.57425743,42.57425743,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,1,1
NbL12g20570.1,0.81277211,0.81277211,0.0000,42.57703081,42.57703081,40.00000000,43.33333333,40.00000000,43.33333333,1.00000000,True,0,0,0,0,3
NbL10g16230.1,0.80696031,0.80700227,0.0052,42.51700680,42.51700680,36.66666667,46.66666667,36.66666667,46.66666667,1.00000000,True,0,0,0,0,11
NbL02g01970.1,0.78634984,0.78689232,0.0690,42.64919942,42.72197962,35.00000000,51.66666667,35.00000000,51.66666667,1.00000000,True,0,0,0,0,6
NbL06g11580.1,0.79575733,0.79575733,0.0000,42.40924092,42.40924092,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,0
NbL03g21240.1,0.83260644,0.83260644,0.0000,42.60355030,42.60355030,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,3
NbL02g10240.1,0.82049652,0.82049652,0.0000,42.46031746,42.46031746,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,0
NbL19g11100.1,0.81019427,0.81019427,0.0000,42.51302083,42.51302083,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,2,9
NbL09g19540.1,0.83512236,0.83512236,0.0000,42.42424242,42.42424242,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,0
NbL10g20440.1,0.78752058,0.78752058,0.0000,42.67912773,42.67912773,36.66666667,46.66666667,36.66666667,46.66666667,1.00000000,True,0,0,0,0,2
NbL18g08860.1,0.75897582,0.75897582,0.0000,42.85714286,42.85714286,40.00000000,46.66666667,40.00000000,46.66666667,1.00000000,True,0,0,0,1,2
NbL08g16140.1,0.84023632,0.84023632,0.0000,42.58373206,42.58373206,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,1
NbL09g13390.1,0.79637285,0.79616518,-0.0261,42.64322917,42.57812500,40.00000000,46.66666667,40.00000000,46.66666667,1.00000000,True,0,0,0,0,5
NbL03g22390.1,0.81077764,0.81077764,0.0000,42.77343750,42.77343750,40.00000000,50.00000000,40.00000000,50.00000000,1.00000000,True,0,0,0,0,4
NbL03g02530.1,0.82182693,0.82182693,0.0000,42.21105528,42.21105528,38.33333333,43.33333333,38.33333333,43.33333333,1.00000000,True,0,0,0,0,2
NbL17g11940.1,0.82061769,0.82061769,0.0000,42.58530184,42.58530184,38.33333333,45.00000000,38.33333333,45.00000000,1.00000000,True,0,0,0,0,5
NbL03g13990.1,0.77972468,0.77972468,0.0000,42.51302083,42.51302083,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,1,7
NbL05g14030.1,0.86905655,0.86905655,0.0000,42.08037825,42.08037825,40.00000000,43.33333333,40.00000000,43.33333333,1.00000000,True,0,0,0,0,1
NbL16g26380.1,0.81662944,0.81662944,0.0000,42.57812500,42.57812500,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,6
NbL04g04240.1,0.77694601,0.77694601,0.0000,42.57812500,42.57812500,38.33333333,48.33333333,38.33333333,48.33333333,1.00000000,True,0,0,0,0,4
NbL03g13170.1,0.78275739,0.78275739,0.0000,42.53164557,42.53164557,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,0,5
NbL01g06860.1,0.80851233,0.80851233,0.0000,42.42424242,42.42424242,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,1,5
NbL00g03000.1,0.81532152,0.81532152,0.0000,42.49512671,42.49512671,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,2
NbL08g18770.1,0.79325454,0.79325454,0.0000,42.44791667,42.44791667,41.66666667,45.00000000,41.66666667,45.00000000,1.00000000,True,0,0,0,0,3
NbL11g22120.1,0.76336811,0.76336811,0.0000,42.46913580,42.46913580,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,1,4
NbL16g15960.1,0.78181962,0.78181962,0.0000,42.57812500,42.57812500,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,1,7
NbL07g15900.1,0.81866005,0.81866005,0.0000,42.30769231,42.30769231,40.00000000,43.33333333,40.00000000,43.33333333,1.00000000,True,0,0,0,0,1
NbL17g00160.1,0.77831736,0.77831736,0.0000,42.57812500,42.57812500,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,0,3
NbL02g01940.1,0.76997638,0.76997638,0.0000,42.48704663,42.48704663,38.33333333,45.00000000,38.33333333,45.00000000,1.00000000,True,0,0,0,0,2
NbL06g00280.1,0.82369113,0.82369113,0.0000,42.54992320,42.54992320,40.00000000,43.33333333,40.00000000,43.33333333,1.00000000,True,0,0,0,0,1
NbL10g19920.1,0.82231154,0.82231154,0.0000,42.42424242,42.42424242,35.00000000,48.33333333,35.00000000,48.33333333,1.00000000,True,0,0,0,0,2
NbL14g08070.1,0.79676550,0.79676550,0.0000,42.51302083,42.51302083,33.33333333,56.66666667,33.33333333,56.66666667,1.00000000,True,0,0,0,1,8
NbL12g18960.1,0.82048269,0.82048269,0.0000,42.54742547,42.54742547,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,0,4
NbL07g11290.1,0.89127890,0.89127890,0.0000,42.59259259,42.59259259,38.33333333,45.00000000,38.33333333,45.00000000,1.00000000,True,0,0,0,0,1
NbL17g20820.1,0.77164671,0.77164671,0.0000,42.50000000,42.50000000,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,3
NbL09g18700.1,0.81531149,0.81575455,0.0543,42.49084249,42.49084249,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,0,4
NbL07g09750.1,0.77650107,0.77650107,0.0000,42.56165473,42.56165473,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,2
NbL07g08910.1,0.78312516,0.78312516,0.0000,42.76094276,42.76094276,41.66666667,43.33333333,41.66666667,43.33333333,1.00000000,True,0,0,0,0,1
NbL17g01260.1,0.82676517,0.82676517,0.0000,42.51302083,42.51302083,40.00000000,46.66666667,40.00000000,46.66666667,1.00000000,True,0,0,0,0,6
NbL04g01100.1,0.78345430,0.78345430,0.0000,42.51302083,42.51302083,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,0,6
NbL04g07070.1,0.76980893,0.77097026,0.1509,42.52597922,42.60591527,28.33333333,50.00000000,30.00000000,50.00000000,1.00000000,True,0,0,0,0,5
NbL10g10200.1,0.80521580,0.80521580,0.0000,42.40506329,42.40506329,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,0
NbL04g09950.1,0.80093618,0.80093618,0.0000,42.47460757,42.47460757,35.00000000,50.00000000,35.00000000,50.00000000,1.00000000,True,0,0,0,0,9
NbL17g11830.1,0.79015680,0.79015680,0.0000,42.45283019,42.45283019,41.66666667,43.33333333,41.66666667,43.33333333,1.00000000,True,0,0,0,0,2
NbL03g25130.1,0.81137011,0.81137011,0.0000,42.51302083,42.51302083,36.66666667,48.33333333,36.66666667,48.33333333,1.00000000,True,0,0,0,0,9
NbL14g15150.1,0.77002559,0.77002559,0.0000,42.46987952,42.46987952,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,0,4
NbL05g04710.1,0.80858011,0.80858011,0.0000,42.51302083,42.51302083,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,0,2
NbL10g00330.1,0.82464852,0.82464852,0.0000,42.38095238,42.38095238,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,2
NbL17g18730.1,0.78883489,0.78883489,0.0000,42.53968254,42.53968254,41.66666667,45.00000000,41.66666667,45.00000000,1.00000000,True,0,0,0,1,6
NbL03g22140.1,0.76995766,0.76995766,0.0000,43.16939891,43.16939891,41.66666667,45.00000000,41.66666667,45.00000000,1.00000000,True,0,0,0,0,0
NbL14g16690.1,0.76740569,0.76640054,-0.1310,42.52597922,42.44604317,28.33333333,50.00000000,26.66666667,50.00000000,1.00000000,True,0,0,0,0,4
NbL10g24490.1,0.80178913,0.80178913,0.0000,42.40362812,42.40362812,40.00000000,46.66666667,40.00000000,46.66666667,1.00000000,True,0,0,0,0,0
NbL01g04320.1,0.77475766,0.77475766,0.0000,42.62411348,42.62411348,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,3
NbL07g14210.1,0.80147387,0.80147387,0.0000,42.59259259,42.59259259,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,7
NbL05g17130.1,0.78277622,0.78277622,0.0000,42.64120923,42.64120923,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,1,8
NbL16g11060.1,0.78519260,0.78519260,0.0000,42.57703081,42.57703081,41.66666667,43.33333333,41.66666667,43.33333333,1.00000000,True,0,0,0,0,2
NbL09g10970.1,0.83203119,0.83203119,0.0000,42.60651629,42.60651629,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,2
NbL19g11280.1,0.81534031,0.81534031,0.0000,42.47311828,42.47311828,36.66666667,45.00000000,36.66666667,45.00000000,1.00000000,True,0,0,0,1,5
NbL13g13320.1,0.87367744,0.87367744,0.0000,42.81609195,42.81609195,41.66666667,45.00000000,41.66666667,45.00000000,1.00000000,True,0,0,0,0,1
NbL15g13200.1,0.80026965,0.80026965,0.0000,42.43137255,42.43137255,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,1,6
NbL18g03550.1,0.80079193,0.80079193,0.0000,42.48120301,42.48120301,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,3
NbL04g08440.1,0.79333605,0.79333605,0.0000,42.47787611,42.47787611,40.00000000,43.33333333,40.00000000,43.33333333,1.00000000,True,0,0,0,0,1
NbL02g08830.1,0.77881838,0.77930239,0.0621,42.62125903,42.72445820,36.66666667,46.66666667,36.66666667,46.66666667,1.00000000,True,0,0,0,0,6
NbL01g12070.1,0.80939154,0.80939154,0.0000,42.51302083,42.51302083,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,0,5
NbL04g02480.1,0.81316110,0.81316110,0.0000,42.51302083,42.51302083,38.33333333,45.00000000,38.33333333,45.00000000,1.00000000,True,0,0,0,1,5
NbL02g08580.1,0.80785832,0.80785832,0.0000,42.47311828,42.47311828,40.00000000,43.33333333,40.00000000,43.33333333,1.00000000,True,0,0,0,0,3
NbL02g09070.1,0.79899410,0.79899410,0.0000,44.19191919,44.19191919,41.66666667,53.33333333,41.66666667,53.33333333,1.00000000,True,0,0,0,0,0
NbL09g13320.1,0.80632118,0.80632118,0.0000,42.57812500,42.57812500,40.00000000,48.33333333,40.00000000,48.33333333,1.00000000,True,0,0,0,0,10
NbL13g09460.1,0.77756638,0.77756638,0.0000,42.47863248,42.47863248,35.00000000,51.66666667,35.00000000,51.66666667,1.00000000,True,0,0,0,2,11
NbL02g00310.1,0.79870529,0.79870529,0.0000,42.49363868,42.49363868,38.33333333,46.66666667,38.33333333,46.66666667,1.00000000,True,0,0,0,0,2
NbL13g02700.1,0.84579229,0.84579229,0.0000,42.62295082,42.62295082,41.66666667,43.33333333,41.66666667,43.33333333,1.00000000,True,0,0,0,0,1
NbL18g10570.1,0.80520170,0.80520170,0.0000,42.50764526,42.50764526,40.00000000,43.33333333,40.00000000,43.33333333,1.00000000,True,0,0,0,0,4
NbL06g07190.1,0.75062306,0.75062306,0.0000,42.57178527,42.57178527,40.00000000,46.66666667,40.00000000,46.66666667,1.00000000,True,0,0,0,0,3
NbL17g06570.1,0.79742883,0.79742883,0.0000,42.61477046,42.61477046,40.00000000,45.00000000,40.00000000,45.00000000,1.00000000,True,0,0,0,2,7
