protein_id,candidate_type,selected_teacher_type,protein_length,candidate_available,source_sequence_available,cai,gc_global,gc_in_40_55,local_gc_min,local_gc_max,repeat_count,homopolymer_count,forbidden_motif_count,multi_objective_score,amino_acid_identity,validator_pass,internal_stop_count,invalid_codon_count,gc_window_outlier_count
NbL04g19790.1,v2_high_cai,gc_target,261,True,False,0.7180233708740722,31.673052362707537,False,23.333333333333332,38.333333333333336,5,3,0,0.3180233708740722,1.0,True,0,0,5
NbL04g19790.1,v2_gc_target,gc_target,261,True,False,0.8000991631780945,42.40102171136654,True,40.0,45.0,2,1,0,0.7500991631780944,1.0,True,0,0,0
NbL04g19790.1,v3_run4b_decoded,gc_target,261,True,False,0.80009916,42.40102171,True,40.0,45.0,2,1,0,0.75009916,1.0,True,0,0,
NbL04g19790.1,feasibility_best,gc_target,261,True,True,0.9629600237456011,54.91698595146871,True,46.666666666666664,68.33333333333333,0,0,0,1.0629600237456012,1.0,True,0,0,0
NbL01g19020.1,v2_high_cai,gc_target,512,True,False,0.7095782481082505,31.4453125,False,23.333333333333332,38.333333333333336,9,3,0,0.10957824810825051,1.0,True,0,0,16
NbL01g19020.1,v2_gc_target,gc_target,512,True,False,0.7917025745862584,42.44791666666667,True,40.0,45.0,9,0,0,0.44170257458625833,1.0,True,0,0,0
NbL01g19020.1,v3_run4b_decoded,gc_target,512,True,False,0.79170257,42.44791667,True,40.0,45.0,9,0,0,0.44170256999999996,1.0,True,0,0,
NbL01g19020.1,feasibility_best,gc_target,512,True,True,0.9638429774615542,54.947916666666664,True,45.0,66.66666666666666,9,0,0,0.6138429774615544,1.0,True,0,0,0
NbL12g19450.1,v2_high_cai,gc_target,512,True,False,0.745094445367588,36.00260416666667,False,25.0,43.333333333333336,6,3,0,0.2950944453675879,1.0,True,0,0,3
NbL12g19450.1,v2_gc_target,gc_target,512,True,False,0.7860492567706345,42.51302083333333,True,40.0,48.333333333333336,6,1,0,0.5360492567706344,1.0,True,0,0,0
NbL12g19450.1,v3_run4b_decoded,gc_target,512,True,False,0.78584428,42.44791667,True,40.0,48.33333333,6,1,0,0.5358442799999998,1.0,True,0,0,
NbL12g19450.1,feasibility_best,gc_target,512,True,True,0.9492043255184189,54.947916666666664,True,38.333333333333336,66.66666666666666,5,0,0,0.7992043255184189,1.0,True,0,0,0
